prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,3904,1,False,12553644.950025955,988499.9999485444,231668829.00022757,231668829.00022757
0,3968,1,False,12528586.850021385,992485.0000970764,231242458.9999864,231242458.9999864
0,4032,1,False,13257888.750035819,1008020.0001993944,245723977.00012517,245723977.00012517
0,4096,1,False,12877663.850053977,995959.5001873822,238268967.99982932,238268967.99982932
0,4096,1,False,999596.4500603804,990120.0000967947,1067599.0001800528,1067599.0001800528
0,4352,1,False,13276543.799997853,997274.9999178632,246173236.99976623,246173236.99976623
0,4608,1,False,14120711.649979968,1009599.500321201,262898076.00005588,262898076.00005588
0,4864,1,False,12814598.800036946,1008855.0000091345,236826578.0000911,236826578.0000911
0,5120,1,False,14333510.150026996,1001379.9999342154,267074146.0001409,267074146.0001409
0,5376,1,False,12496761.450051963,1001365.0000928465,230490679.0000132,230490679.0000132
0,5632,1,False,14430212.150000444,1015269.9999252945,268944266.99982435,268944266.99982435
0,5888,1,False,21093674.950020615,1039909.9999176542,401637768.0000005,401637768.0000005
0,6144,1,False,13966059.850008605,1011429.9998349452,259742629.99989152,259742629.99989152
0,6400,1,False,11951075.09997797,1021394.999952463,219202711.99996933,219202711.99996933
0,6656,1,False,14040146.84997037,1027545.0001699937,260943679.9998548,260943679.9998548
0,6912,1,False,12301738.000019213,1027140.0001329312,226086871.0000068,226086871.0000068
0,7168,1,False,14556330.749974223,1025114.499952906,271333187.9999714,271333187.9999714
0,7424,1,False,12537261.89995632,1032859.499900951,230660981.00025555,230660981.00025555
0,7680,1,False,13276406.950058118,1030554.9999429786,245598649.99991986,245598649.99991986
0,7936,1,False,13735292.000046683,1061235.4999466334,253680100.00011054,253680100.00011054
0,8192,1,False,13673207.800070485,1044054.9999657378,253159189.00014368,253159189.00014368
0,8448,1,False,14202845.399950093,1031900.0000436063,263883199.00024727,263883199.00024727
0,8704,1,False,14985037.700080283,1048214.9998551904,278928997.00009364,278928997.00009364
0,8960,1,False,13518846.950023545,1035580.0000070303,250328940.00014493,250328940.00014493
0,9216,1,False,14572840.250048103,1046445.0001563819,271236098.0003723,271236098.0003723
