prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,31488,4,False,103273836.00001667,3603590.0000115363,501792250.00010777,501792250.00010777
0,31744,1,False,74979408.19994256,2505738.9998437427,364627701.00001764,364627701.00001764
0,31744,2,False,93562938.6000528,3288549.999979296,454349324.0000771,454349324.0000771
0,31744,4,False,94178824.39993264,3251299.9998743907,457579623.9998908,457579623.9998908
0,32000,1,False,74649146.39999734,2553211.0000767717,362824161.9999244,362824161.9999244
0,32000,2,False,81692289.2000548,2933230.0000532996,396515317.9999561,396515317.9999561
0,32000,4,False,101222349.99998909,3541779.9999777344,491653290.9999205,491653290.9999205
0,32256,1,False,73137168.2000372,2558850.0000139903,355156171.9998517,355156171.9998517
0,32256,2,False,78509505.80000244,3562789.999932647,378079990.0000602,378079990.0000602
0,32256,3,False,95639184.40003362,3560569.999990548,463813172.99983495,463813172.99983495
0,32256,4,False,78699733.59997857,3495290.0000462253,379313338.9999639,379313338.9999639
0,32512,1,False,70285894.40001269,2568499.9998247805,340919213.0000065,340919213.0000065
0,32512,2,False,102008349.5999188,3595159.0000422583,495407949.99984425,495407949.99984425
0,32512,4,False,103039314.19994114,3045159.9998286837,502737050.99994004,502737050.99994004
0,32768,1,False,79058600.00000757,2629450.0000858535,384636158.99991053,384636158.99991053
0,32768,2,False,83184033.5999459,3291600.0000113854,402506278.9999083,402506278.9999083
0,32768,4,False,90543533.19997972,3061039.9999204674,440270966.000071,440270966.000071
0,33024,1,False,77924143.80000992,2577810.000047975,378979099.99992406,378979099.99992406
0,33024,2,False,78838841.60000889,3152550.0000952887,381367418.9998437,381367418.9998437
0,33024,3,False,84229053.40003127,3651040.0000224765,406424898.0000684,406424898.0000684
0,33024,4,False,103275197.79993963,3620909.9998814054,501664319.999918,501664319.999918
0,33280,1,False,77337995.80009872,2620409.000201107,375882550.00014216,375882550.00014216
0,33280,2,False,77903603.99990277,3834890.0000073626,373996450.9998117,373996450.9998117
0,33280,4,False,76122267.99997188,3606340.000033015,365942319.999931,365942319.999931
0,33536,1,False,79817463.60001124,2674660.0001388285,388273899.0000689,388273899.0000689
0,33536,2,False,94255716.60003698,3185730.000041076,458169765.00009334,458169765.00009334
0,33536,4,False,111074931.40007137,3766830.000131449,540056677.9999281,540056677.9999281
0,33792,1,False,77035311.7999548,2592899.999854126,374541850.0000142,374541850.0000142
0,33792,2,False,94275826.60000554,3988610.000078552,455152353.99989253,455152353.99989253
0,33792,3,False,143365980.59999233,3658739.999991667,701996604.9999766,701996604.9999766
0,33792,4,False,93193254.80005318,3722060.000200145,450841155.00003463,450841155.00003463
0,34048,1,False,79136887.99999364,2642779.999860068,384923970.0000453,384923970.0000453
0,34048,2,False,80585111.5999758,3270749.999956024,389715938.99987054,389715938.99987054
0,34048,4,False,98485078.19997394,3708480.000113923,477349063.00001967,477349063.00001967
0,34304,1,False,76797260.0000121,2654078.999967169,373084241.000015,373084241.000015
0,34304,2,False,82500715.79996075,3569729.999981064,397883288.99999213,397883288.99999213
0,34304,4,False,90306926.79998538,3386560.0000808625,437850694.9999519,437850694.9999519
0,34560,1,False,73329272.39999662,2701350.0000521163,355671371.99996066,355671371.99996066
0,34560,2,False,81245037.60000153,3244758.9999264893,393027658.9999266,393027658.9999266
0,34560,3,False,85402429.0000325,3671688.9999297564,412124446.9999965,412124446.9999965
0,34560,4,False,96939516.40001614,3215720.0000710874,471481943.00007164,471481943.00007164
0,34816,1,False,74460471.99996428,2819079.999881069,361017411.9999101,361017411.9999101
0,34816,2,False,84073559.19994189,3382898.999916506,406601978.00002605,406601978.00002605
0,34816,4,False,89838587.00003111,3149849.000010363,436460646.00011414,436460646.00011414
0,35072,1,False,81183227.59996772,2684959.999896819,394949899.0000393,394949899.0000393
0,35072,2,False,82761165.20000869,3932548.999955543,397852658.0001471,397852658.0001471
0,35072,4,False,99209680.19996507,3859639.9999732967,480487691.99999696,480487691.99999696
0,35328,1,False,77964688.00002003,2695160.000030228,378792739.99988073,378792739.99988073
0,35328,2,False,82859129.39991249,3984749.999972337,398146888.9999178,398146888.9999178
0,35328,3,False,112158108.9999836,3757209.0000139726,545462296.9998581,545462296.9998581
0,35328,4,False,86179655.19997597,3741940.0000544554,415700546.9999149,415700546.9999149
0,35584,1,False,77483303.99990664,2845839.999963573,376241510.9999893,376241510.9999893
0,35584,2,False,82365281.39996153,3311019.0001934823,398350847.9998363,398350847.9998363
0,35584,4,False,105145721.79995412,3849978.9998240885,510004429.99998087,510004429.99998087
0,35840,1,False,78594555.60001151,2698349.999946004,381896169.0001288,381896169.0001288
0,35840,2,False,84631117.3999311,4129108.999904929,406403967.9999496,406403967.9999496
0,35840,4,False,90491650.80000421,3847099.0000405437,436867015.99995106,436867015.99995106
0,36096,1,False,77418023.99996231,2740119.9999985695,375908030.00011873,375908030.00011873
0,36096,2,False,87720939.2000168,3343249.9999435097,425039767.00004387,425039767.00004387
0,36096,3,False,88751649.00000528,3800250.000040251,428285045.9999281,428285045.9999281
0,36096,4,False,97002498.39997923,3900120.0000257087,469162413.0000491,469162413.0000491
0,36352,1,False,78605273.60003288,2746010.0000098464,381904588.999987,381904588.999987
0,36352,2,False,80324399.40002406,4020820.000050662,385305329.00017536,385305329.00017536
0,36352,4,False,90664126.79994756,3836939.9999282905,437770355.0001115,437770355.0001115
0,36608,1,False,78759931.80005026,2765919.000012218,382554230.00009614,382554230.00009614
0,36608,2,False,82161525.39998803,3331708.999894545,397235968.9998939,397235968.9998939
0,36608,4,False,204564961.8000425,3868060.000058904,1007087891.0000829,1007087891.0000829
0,36864,1,False,81255915.39987908,2807528.9999378584,394867188.9997968,394867188.9997968
0,36864,2,False,186553033.4000141,3999839.0000164364,916481168.0000185,916481168.0000185
0,36864,3,False,187570827.19998834,3837069.9999177307,922293146.9998912,922293146.9998912
0,36864,4,False,191632852.8000122,3791418.999981033,942686725.9999199,942686725.9999199
