time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.952679999954853,235.7289579999815,12.726718800104209,0.9754450002219528,51.160263393705826,,,,,,2048,32,8,1,131072,1,32,352,True,FLASH_ATTENTION
0.9478499996475875,240.30508799978634,12.947051349897265,0.962834999882034,52.15954692757659,,,,,,2048,32,8,1,131072,1,32,384,True,FLASH_ATTENTION
0.9375200002068595,292.7639229997112,15.571563000003152,0.9571550001510332,63.59235163662805,,,,,,2048,32,8,1,131072,1,32,416,True,FLASH_ATTENTION
0.9299099997406302,280.8482139998887,14.958807200014235,0.945940000065093,60.99924453129149,,,,,,2048,32,8,1,131072,1,32,448,True,FLASH_ATTENTION
0.9415790000275592,287.5278139999864,15.302078149989029,0.9560850000980281,62.45289862101237,,,,,,2048,32,8,1,131072,1,32,480,True,FLASH_ATTENTION
0.9332300001005933,27.196797999749833,2.2700458000144863,0.9521050001239928,5.718662195679466,,,,,,2048,32,8,1,131072,1,64,0,True,FLASH_ATTENTION
0.934640000195941,214.4011599998521,11.649869400025636,0.9620195000934473,46.51439545064912,,,,,,2048,32,8,1,131072,1,64,64,True,FLASH_ATTENTION
0.9545799998704751,206.29773200016643,11.266465550011162,0.9772294999947917,44.74330946647183,,,,,,2048,32,8,1,131072,1,64,128,True,FLASH_ATTENTION
0.9506299998065515,311.8235019996973,16.52437329996701,0.9602640000139218,67.74629725654343,,,,,,2048,32,8,1,131072,1,64,192,True,FLASH_ATTENTION
0.94883999963713,295.5885239998679,15.712719149996701,0.9664795002208848,64.20794431598436,,,,,,2048,32,8,1,131072,1,64,256,True,FLASH_ATTENTION
0.9491699997852265,400.5437040000288,20.97068665009374,0.9765850002168008,87.08005660256656,,,,,,2048,32,8,1,131072,1,64,320,True,FLASH_ATTENTION
0.9494199998698605,389.98597499994503,20.439088699936292,0.969230000009702,84.77990538137564,,,,,,2048,32,8,1,131072,1,64,384,True,FLASH_ATTENTION
0.9533399997962988,507.3241530003543,26.30121019994931,0.9612649998871348,110.35424979229467,,,,,,2048,32,8,1,131072,1,64,448,True,FLASH_ATTENTION
0.9246899999197922,27.280167999833793,2.274903249963245,0.9487550000812917,5.7367328557470065,,,,,,2048,32,8,1,131072,1,96,0,True,FLASH_ATTENTION
0.9443399999327085,214.73622000030446,11.66527845005021,0.956674999997631,46.58771457342203,,,,,,2048,32,8,1,131072,1,96,96,True,FLASH_ATTENTION
